OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
23,2434,753.9733276,109.8342972,13.72928715,397951.4688,3983311.25,15.49184132,15.49184132,90
24,2435,40714.55859,1592.59729,68.6464386,402892.5,3983176,206.0223389,62.905056,5.280416489
25,2436,753.9733276,109.8342972,13.72928715,393750.3125,3983338.75,15.49184132,15.49184132,90
26,2437,1507.946655,164.7514496,13.72928715,396098.0313,3983311.25,30.98368263,15.49184132,0
27,2438,9047.679688,439.3371887,41.1878624,397880.5625,3983254,69.58161163,41.38975525,6.642433167
28,2439,4523.839844,329.5028992,13.72928715,398157.4063,3983265.5,54.07975006,26.62702751,0
29,2440,753.9733276,109.8342972,13.72928715,403690.3125,3983229,15.49184132,15.49184132,90
30,2441,753.9733276,109.8342972,13.72928715,400669.875,3983229,15.49184132,15.49184132,90
31,2442,753.9733276,109.8342972,13.72928715,402152.6563,3983201.5,15.49184132,15.49184132,90
32,2443,7539.73291,439.3371887,19.41321182,404527.8125,3983124.5,69.21092987,34.67619324,137.144577
33,2445,5277.812988,329.5028992,13.72928715,397998.5625,3983189.75,60.52795029,27.75544357,171.6503754
34,2446,753.9733276,109.8342972,13.72928715,402454.6875,3983119,15.49184132,15.49184132,90
35,2447,1507.946655,164.7514496,13.72928715,402509.5938,3983105.25,30.98368263,15.49184132,90
36,2448,2261.919922,219.6685944,13.72928715,402436.375,3983073.25,35.31376266,20.38841057,135
37,2449,3015.893311,219.6685944,13.72928715,403264.7188,3983078,30.98368263,30.98368263,90
38,2450,58809.91797,1372.928711,85.69821167,404687.625,3982963.75,179.78302,104.1242828,6.537578106
39,2451,1507.946655,164.7514496,13.72928715,403058.7813,3983050.5,30.98368263,15.49184132,90
40,2452,1507.946655,164.7514496,13.72928715,403141.1563,3983050.5,30.98368263,15.49184132,90
41,2453,11309.59961,768.8400879,13.72928715,402513.2813,3982945.25,86.91583252,41.41888809,27.80404282
42,2454,753.9733276,109.8342972,13.72928715,403168.625,3983009.25,15.49184132,15.49184132,90
43,2455,753.9733276,109.8342972,13.72928715,404184.5938,3983009.25,15.49184132,15.49184132,90
44,2456,753.9733276,109.8342972,13.72928715,401630.9375,3983009.25,15.49184132,15.49184132,90
45,2457,756989.1875,5601.549316,348.9161072,393995.2813,3982422,560.31427,430.0392761,71.00743866
46,2458,753.9733276,109.8342972,13.72928715,396276.5,3983036.75,15.49184132,15.49184132,90
47,2460,4523.839844,274.5857544,13.72928715,404925.9688,3982940.5,48.4920845,29.69521523,0
48,2461,753.9733276,109.8342972,13.72928715,400203.0938,3982954.25,15.49184132,15.49184132,90
49,2462,3015.893311,219.6685944,13.72928715,402166.375,3982940.5,30.98368263,30.98368263,90
50,2463,3015.893311,219.6685944,13.72928715,402276.2188,3982940.5,30.98368263,30.98368263,90
51,2464,1507.946655,164.7514496,13.72928715,402358.5938,3982927,30.98368263,15.49184132,0
52,2465,2261.919922,219.6685944,13.72928715,402674.3438,3982899.5,53.66531372,13.41632843,90
53,2466,1507.946655,164.7514496,13.72928715,400120.7188,3982913.25,30.98368263,15.49184132,90
54,2467,4523.839844,274.5857544,13.72928715,402084,3982899.5,48.4920845,29.69521523,90
55,2468,1507.946655,164.7514496,13.72928715,402289.9375,3982830.75,30.98368263,15.49184132,90
56,2469,753.9733276,109.8342972,13.72928715,402427.2188,3982844.5,15.49184132,15.49184132,90
57,2470,753.9733276,109.8342972,13.72928715,400120.7188,3982844.5,15.49184132,15.49184132,90
